idx,logprob,params
0,-2.292691230773926,6658473984
1,-2.221864700317383,6658473984
2,-3.438413619995117,6658473984
3,-3.1644411087036133,6658473984
4,-2.1424083709716797,6658473984
5,-2.9930734634399414,6658473984
6,-1.5883407592773438,6658473984
7,-2.0436463356018066,6658473984
8,-2.9729576110839844,6658473984
9,-1.5110092163085938,6658473984
10,-2.603215217590332,6658473984
11,-2.2817468643188477,6658473984
12,-2.325066566467285,6658473984
13,-2.734952449798584,6658473984
14,-1.9286556243896484,6658473984
15,-2.0737171173095703,6658473984
16,-2.5246033668518066,6658473984
17,-1.956986904144287,6658473984
18,-4.576613426208496,6658473984
19,-2.257863998413086,6658473984
20,-1.979123592376709,6658473984
21,-3.3372583389282227,6658473984
22,-2.2374215126037598,6658473984
23,-2.23331356048584,6658473984
24,-2.7812843322753906,6658473984
25,-3.598906993865967,6658473984
26,-3.434687614440918,6658473984
27,-3.0309572219848633,6658473984
28,-2.2596349716186523,6658473984
29,-2.1443777084350586,6658473984
30,-2.4606685638427734,6658473984
31,-2.6702098846435547,6658473984
32,-2.8207592964172363,6658473984
33,-2.0666708946228027,6658473984
34,-2.044426918029785,6658473984
35,-1.826045036315918,6658473984
36,-2.813438892364502,6658473984
37,-2.94071626663208,6658473984
38,-2.716348171234131,6658473984
39,-3.3621463775634766,6658473984
40,-2.4593420028686523,6658473984
41,-3.20163631439209,6658473984
42,-4.626089572906494,6658473984
43,-4.679920196533203,6658473984
44,-4.809439659118652,6658473984
45,-4.0788893699646,6658473984
46,-2.631833076477051,6658473984
47,-3.560452699661255,6658473984
48,-2.5872392654418945,6658473984
49,-2.5566325187683105,6658473984
50,-3.380866289138794,6658473984
51,-3.6033174991607666,6658473984
52,-4.135861396789551,6658473984
53,-3.7212698459625244,6658473984
54,-4.350860595703125,6658473984
55,-5.454447269439697,6658473984
56,-3.7076809406280518,6658473984
57,-3.8336541652679443,6658473984
58,-5.455825328826904,6658473984
59,-4.017706871032715,6658473984
60,-2.223087787628174,6658473984
61,-4.065176010131836,6658473984
62,-1.5539536476135254,6658473984
63,-3.328253984451294,6658473984
64,-1.9884729385375977,6658473984
65,-2.5263686180114746,6658473984
66,-4.0055999755859375,6658473984
67,-3.139014720916748,6658473984
68,-2.197991371154785,6658473984
69,-1.906714916229248,6658473984
70,-2.5328893661499023,6658473984
71,-1.8539924621582031,6658473984
72,-4.290182590484619,6658473984
73,-2.820767402648926,6658473984
74,-1.1354379653930664,6658473984
75,-3.2321362495422363,6658473984
76,-2.951033592224121,6658473984
77,-3.010957717895508,6658473984
78,-2.3157529830932617,6658473984
79,-2.325179100036621,6658473984
80,-2.248971939086914,6658473984
81,-2.2701449394226074,6658473984
82,-1.5643377304077148,6658473984
83,-1.6696500778198242,6658473984
84,-2.3593597412109375,6658473984
85,-2.9770545959472656,6658473984
86,-1.7240715026855469,6658473984
87,-1.696333408355713,6658473984
88,-3.126842975616455,6658473984
89,-2.494028091430664,6658473984
90,-1.9537091255187988,6658473984
91,-1.8358149528503418,6658473984
92,-2.074462890625,6658473984
93,-2.0861220359802246,6658473984
94,-4.520635604858398,6658473984
95,-3.1760659217834473,6658473984
96,-4.3982038497924805,6658473984
97,-1.7024378776550293,6658473984
98,-1.6239590644836426,6658473984
99,-1.9182415008544922,6658473984
100,-3.4485716819763184,6658473984
101,-1.8116393089294434,6658473984
102,-2.163637638092041,6658473984
103,-1.1079134941101074,6658473984
104,-2.1047019958496094,6658473984
105,-0.6929287910461426,6658473984
106,-2.848221778869629,6658473984
107,-2.5294442176818848,6658473984
108,-4.504943370819092,6658473984
109,-4.094182014465332,6658473984
110,-2.199939250946045,6658473984
111,-2.0637102127075195,6658473984
112,-5.0394768714904785,6658473984
113,-3.551408290863037,6658473984
114,-2.2243757247924805,6658473984
115,-2.314056873321533,6658473984
116,-6.422251224517822,6658473984
117,-3.9896340370178223,6658473984
118,-4.385545253753662,6658473984
119,-2.596590995788574,6658473984
120,-2.497537136077881,6658473984
121,-3.0252270698547363,6658473984
122,-2.842583179473877,6658473984
123,-2.803483009338379,6658473984
124,-4.0493316650390625,6658473984
125,-6.211031436920166,6658473984
126,-4.584939002990723,6658473984
127,-2.8239874839782715,6658473984
128,-3.43751859664917,6658473984
129,-4.37591552734375,6658473984
130,-2.8917641639709473,6658473984
131,-5.584131240844727,6658473984
132,-4.909551620483398,6658473984
133,-2.5374317169189453,6658473984
134,-4.957983016967773,6658473984
135,-4.61215353012085,6658473984
136,-3.693368434906006,6658473984
137,-4.807623863220215,6658473984
138,-4.874752044677734,6658473984
139,-4.82359504699707,6658473984
140,-5.080512046813965,6658473984
141,-3.9566917419433594,6658473984
142,-5.399191856384277,6658473984
143,-4.040360450744629,6658473984
144,-5.277048587799072,6658473984
145,-4.256508827209473,6658473984
146,-4.4835124015808105,6658473984
147,-4.239124774932861,6658473984
148,-3.822450637817383,6658473984
149,-6.561911582946777,6658473984
150,-4.128457546234131,6658473984
151,-3.097498893737793,6658473984
152,-5.628472805023193,6658473984
153,-5.562068939208984,6658473984
154,-5.433168888092041,6658473984
155,-3.950998306274414,6658473984
156,-4.410374164581299,6658473984
157,-4.332251071929932,6658473984
158,-5.449787139892578,6658473984
159,-3.8204736709594727,6658473984
160,-3.2406506538391113,6658473984
161,-3.9737937450408936,6658473984
162,-4.6038408279418945,6658473984
163,-6.022643089294434,6658473984
164,-6.566210746765137,6658473984
165,-5.418837547302246,6658473984
166,-5.7579216957092285,6658473984
167,-3.7143611907958984,6658473984
168,-5.347609996795654,6658473984
169,-4.620118141174316,6658473984
170,-5.468789577484131,6658473984
