idx,logprob,params
0,-3.048095703125,162322944
1,-3.6075439453125,162322944
2,-4.756134033203125,162322944
3,-3.139068603515625,162322944
4,-3.204620361328125,162322944
5,-6.180816650390625,162322944
6,-3.883544921875,162322944
7,-3.3577880859375,162322944
8,-4.11181640625,162322944
9,-2.784271240234375,162322944
10,-3.365631103515625,162322944
11,-4.323272705078125,162322944
12,-3.77020263671875,162322944
13,-4.01434326171875,162322944
14,-3.8277587890625,162322944
15,-5.633056640625,162322944
16,-3.51336669921875,162322944
17,-3.51397705078125,162322944
18,-7.356201171875,162322944
19,-5.2596435546875,162322944
20,-5.673187255859375,162322944
21,-3.91094970703125,162322944
22,-5.521453857421875,162322944
23,-4.9658203125,162322944
24,-5.377685546875,162322944
25,-7.10015869140625,162322944
26,-6.505706787109375,162322944
27,-6.58477783203125,162322944
28,-3.27801513671875,162322944
29,-5.115203857421875,162322944
30,-6.168426513671875,162322944
31,-4.620758056640625,162322944
32,-5.28802490234375,162322944
33,-4.284881591796875,162322944
34,-3.070220947265625,162322944
35,-4.722259521484375,162322944
36,-4.458404541015625,162322944
37,-3.69427490234375,162322944
38,-5.754180908203125,162322944
39,-5.83734130859375,162322944
40,-5.630340576171875,162322944
41,-4.692535400390625,162322944
42,-5.6683349609375,162322944
43,-4.73797607421875,162322944
44,-8.598419189453125,162322944
45,-7.59521484375,162322944
46,-6.08123779296875,162322944
47,-5.469024658203125,162322944
48,-6.557891845703125,162322944
49,-4.300872802734375,162322944
50,-5.401123046875,162322944
51,-4.63336181640625,162322944
52,-6.578948974609375,162322944
53,-6.245208740234375,162322944
54,-5.253936767578125,162322944
55,-5.4759521484375,162322944
56,-6.199554443359375,162322944
57,-6.6861572265625,162322944
58,-8.587615966796875,162322944
59,-6.7772216796875,162322944
60,-4.0284423828125,162322944
61,-4.84716796875,162322944
62,-2.586883544921875,162322944
63,-3.340789794921875,162322944
64,-6.6007537841796875,162322944
65,-4.012451171875,162322944
66,-4.548370361328125,162322944
67,-3.741058349609375,162322944
68,-3.318084716796875,162322944
69,-4.110565185546875,162322944
70,-3.729522705078125,162322944
71,-2.941162109375,162322944
72,-4.550445556640625,162322944
73,-4.661651611328125,162322944
74,-2.96441650390625,162322944
75,-3.841278076171875,162322944
76,-3.537933349609375,162322944
77,-3.688995361328125,162322944
78,-3.7386627197265625,162322944
79,-3.0843505859375,162322944
80,-3.777679443359375,162322944
81,-5.135498046875,162322944
82,-3.407867431640625,162322944
83,-3.45477294921875,162322944
84,-3.609100341796875,162322944
85,-6.783355712890625,162322944
86,-3.710205078125,162322944
87,-4.24456787109375,162322944
88,-8.172454833984375,162322944
89,-2.53802490234375,162322944
90,-6.5186004638671875,162322944
91,-3.48883056640625,162322944
92,-3.156982421875,162322944
93,-3.324920654296875,162322944
94,-4.81976318359375,162322944
95,-3.14459228515625,162322944
96,-7.4521026611328125,162322944
97,-6.055633544921875,162322944
98,-3.23583984375,162322944
99,-3.004486083984375,162322944
100,-6.08880615234375,162322944
101,-5.622955322265625,162322944
102,-4.457000732421875,162322944
103,-3.670562744140625,162322944
104,-4.443450927734375,162322944
105,-3.79901123046875,162322944
106,-3.190093994140625,162322944
107,-4.946044921875,162322944
108,-3.845947265625,162322944
109,-4.30450439453125,162322944
110,-3.851715087890625,162322944
111,-3.68060302734375,162322944
112,-6.426605224609375,162322944
113,-5.005279541015625,162322944
114,-3.78350830078125,162322944
115,-4.361968994140625,162322944
116,-7.765380859375,162322944
117,-6.712982177734375,162322944
118,-4.41973876953125,162322944
119,-3.835418701171875,162322944
120,-5.148590087890625,162322944
121,-3.36749267578125,162322944
122,-5.005828857421875,162322944
123,-4.895721435546875,162322944
124,-5.111083984375,162322944
125,-7.56005859375,162322944
126,-5.046600341796875,162322944
127,-6.91448974609375,162322944
128,-5.57440185546875,162322944
129,-4.8812255859375,162322944
130,-4.108154296875,162322944
131,-5.625396728515625,162322944
132,-4.7120361328125,162322944
133,-4.687530517578125,162322944
134,-5.583587646484375,162322944
135,-4.594085693359375,162322944
136,-5.4962158203125,162322944
137,-6.50604248046875,162322944
138,-4.624542236328125,162322944
139,-5.37335205078125,162322944
140,-5.726287841796875,162322944
141,-5.648345947265625,162322944
142,-7.181396484375,162322944
143,-6.112579345703125,162322944
144,-5.084381103515625,162322944
145,-5.69256591796875,162322944
146,-6.29736328125,162322944
147,-5.106689453125,162322944
148,-5.060211181640625,162322944
149,-6.4195556640625,162322944
150,-5.267822265625,162322944
151,-5.07794189453125,162322944
152,-7.32958984375,162322944
153,-7.403106689453125,162322944
154,-4.669403076171875,162322944
155,-4.22613525390625,162322944
156,-4.787445068359375,162322944
157,-5.02008056640625,162322944
158,-4.830657958984375,162322944
159,-5.855133056640625,162322944
160,-4.64208984375,162322944
161,-5.046417236328125,162322944
162,-5.650115966796875,162322944
163,-7.110137939453125,162322944
164,-7.217437744140625,162322944
165,-5.252899169921875,162322944
166,-5.006805419921875,162322944
167,-4.130157470703125,162322944
168,-5.9898681640625,162322944
169,-5.074066162109375,162322944
170,-8.091644287109375,162322944
171,-4.475982666015625,162322944
172,-4.27471923828125,162322944
173,-4.3350830078125,162322944
174,-5.069244384765625,162322944
175,-4.52642822265625,162322944
176,-5.47235107421875,162322944
177,-7.3651123046875,162322944
178,-4.294097900390625,162322944
179,-5.39031982421875,162322944
180,-4.7645263671875,162322944
181,-5.240020751953125,162322944
182,-5.04364013671875,162322944
183,-5.220245361328125,162322944
184,-7.227996826171875,162322944
185,-4.7010498046875,162322944
186,-7.868316650390625,162322944
187,-5.59857177734375,162322944
188,-5.976837158203125,162322944
189,-4.8873291015625,162322944
190,-5.40545654296875,162322944
191,-6.563812255859375,162322944
192,-5.6854248046875,162322944
193,-4.878143310546875,162322944
194,-5.530731201171875,162322944
195,-7.06231689453125,162322944
196,-7.408172607421875,162322944
197,-5.5111083984375,162322944
198,-5.619842529296875,162322944
199,-5.555999755859375,162322944
200,-5.117340087890625,162322944
201,-6.107574462890625,162322944
202,-6.02130126953125,162322944
203,-7.809814453125,162322944
204,-5.110321044921875,162322944
205,-6.448211669921875,162322944
206,-5.522552490234375,162322944
207,-5.72271728515625,162322944
208,-5.3779296875,162322944
209,-7.421295166015625,162322944
210,-6.152923583984375,162322944
211,-6.482513427734375,162322944
212,-5.590789794921875,162322944
213,-5.142791748046875,162322944
214,-5.79254150390625,162322944
215,-7.318115234375,162322944
216,-5.27252197265625,162322944
217,-5.74554443359375,162322944
218,-6.3076171875,162322944
