idx,logprob,params
0,-2.279378890991211,2614341888
1,-2.99887752532959,2614341888
2,-3.566282272338867,2614341888
3,-2.8074398040771484,2614341888
4,-2.6701107025146484,2614341888
5,-3.811802864074707,2614341888
6,-2.5449867248535156,2614341888
7,-2.83444881439209,2614341888
8,-3.064481735229492,2614341888
9,-2.393831253051758,2614341888
10,-2.631321907043457,2614341888
11,-2.9457483291625977,2614341888
12,-2.8558664321899414,2614341888
13,-3.158907890319824,2614341888
14,-2.499955177307129,2614341888
15,-2.744521141052246,2614341888
16,-3.166262626647949,2614341888
17,-2.7755441665649414,2614341888
18,-7.924134731292725,2614341888
19,-3.062286376953125,2614341888
20,-2.8090944290161133,2614341888
21,-3.384166717529297,2614341888
22,-3.8282976150512695,2614341888
23,-3.1826133728027344,2614341888
24,-2.986638069152832,2614341888
25,-6.808302879333496,2614341888
26,-5.798089027404785,2614341888
27,-3.4361772537231445,2614341888
28,-2.710116386413574,2614341888
29,-3.600325584411621,2614341888
30,-3.740262985229492,2614341888
31,-3.3392419815063477,2614341888
32,-3.6027917861938477,2614341888
33,-2.8619766235351562,2614341888
34,-3.1431941986083984,2614341888
35,-3.05313777923584,2614341888
36,-3.747425079345703,2614341888
37,-3.190718650817871,2614341888
38,-4.009160041809082,2614341888
39,-4.458499908447266,2614341888
40,-3.891876220703125,2614341888
41,-5.835812568664551,2614341888
42,-6.733388900756836,2614341888
43,-5.861047744750977,2614341888
44,-5.494571685791016,2614341888
45,-5.660159111022949,2614341888
46,-4.952265739440918,2614341888
47,-7.9143757820129395,2614341888
48,-4.6362152099609375,2614341888
49,-4.303163528442383,2614341888
50,-7.802567481994629,2614341888
51,-4.468351364135742,2614341888
52,-5.293932914733887,2614341888
53,-5.961570739746094,2614341888
54,-5.246770858764648,2614341888
55,-4.9072370529174805,2614341888
56,-6.224459648132324,2614341888
57,-6.3274946212768555,2614341888
58,-10.200963020324707,2614341888
59,-6.076543807983398,2614341888
60,-3.525747299194336,2614341888
61,-3.8733434677124023,2614341888
62,-2.8770551681518555,2614341888
63,-3.283763885498047,2614341888
64,-2.744156837463379,2614341888
65,-3.3522262573242188,2614341888
66,-3.6330957412719727,2614341888
67,-3.410832405090332,2614341888
68,-3.2481155395507812,2614341888
69,-2.944676399230957,2614341888
70,-3.2670021057128906,2614341888
71,-3.340437889099121,2614341888
72,-4.093044281005859,2614341888
73,-3.3138294219970703,2614341888
74,-3.0941762924194336,2614341888
75,-3.2427539825439453,2614341888
76,-3.0084104537963867,2614341888
77,-3.4866952896118164,2614341888
78,-3.584822654724121,2614341888
79,-3.319951057434082,2614341888
80,-3.907923698425293,2614341888
81,-3.6761960983276367,2614341888
82,-3.287116050720215,2614341888
83,-3.510849952697754,2614341888
